center_frequency_hz,total_db
200,28.47961362
250,25.76923309
315,26.55730143
400,26.06925731
500,63.7244221
630,28.65721682
800,31.22124745
1000,46.76227808
1250,34.71336147
1600,37.72644344
2000,37.60506469
2500,37.72265889
3150,39.31623928
4000,40.93362571
5000,42.49686568
6300,44.97772995
8000,47.17213303
10000,49.8123386
12500,52.77995565
16000,54.06469997
20000,50.55326367
